game_pk,at_bat_index,at_bat_number,event_index,pitch_number,play_id,call_description,balls_after_pitch,strikes_after_pitch,outs_after_pitch,abs_overturned,abs_in_progress,review_type,challenge_team_id,batting_team_id,fielding_team_id,challenge_side,abs_player_id,abs_player_name
822833,4,5,0,1.0,b5e86f2a-356a-3ea3-a3ef-beb67e364960,Ball,1,0,0,False,False,MJ,119.0,141,119,fielding,669257.0,Will Smith
822833,57,58,5,3.0,7bc606d4-d352-3d11-bbbc-06586070c6a1,Ball,2,1,0,True,False,MJ,141.0,141,119,batting,676914.0,Davis Schneider
822833,70,71,1,2.0,2fddba52-7991-3c51-bade-e5f513e5974c,Called Strike,0,2,1,False,False,MJ,141.0,141,119,batting,665926.0,Andrés Giménez
822834,52,53,4,2.0,34a76c0f-b903-36d7-a076-8bec592bf554,Called Strike,1,1,0,False,False,MJ,141.0,141,115,batting,660821.0,Jesús Sánchez
822834,71,72,2,1.0,74772d4f-b7c2-3d5b-a3ae-58345fd96be3,Called Strike,0,1,0,False,False,MJ,141.0,141,115,batting,665926.0,Andrés Giménez
822835,5,6,4,4.0,dfa53c15-3b0b-39b6-9b3a-45bce6c71701,Ball,2,2,2,False,False,MJ,115.0,141,115,fielding,664954.0,Brett Sullivan
822835,10,11,0,1.0,627e80a9-4fb9-3751-899f-15717a045eab,Called Strike,0,1,0,False,False,MJ,141.0,141,115,batting,672386.0,Alejandro Kirk
822835,62,63,2,3.0,aba3ac1a-3be0-3fe7-b8e2-736c6cb772cc,Called Strike,1,2,1,True,False,MJ,115.0,141,115,fielding,664954.0,Brett Sullivan
822835,64,65,2,1.0,ac552c0f-4948-358a-9eb4-3d25583bd362,Ball,1,0,2,True,False,MJ,141.0,141,115,batting,676391.0,Ernie Clement
822835,68,69,6,3.0,d3bc9fb9-3c5b-3253-b312-c62080d89f7c,Ball,1,2,0,True,False,MJ,141.0,141,115,batting,660821.0,Jesús Sánchez
822835,71,72,6,3.0,1d6bd4fc-f1ae-3852-805a-95e3fa510c85,Ball,1,2,0,False,False,MJ,141.0,115,141,fielding,623168.0,Tyler Heineman
822836,9,10,2,3.0,5622e6c3-f759-3484-b866-50df3c629c45,Ball,3,0,2,False,False,MJ,141.0,115,141,fielding,623168.0,Tyler Heineman
822836,48,49,0,1.0,e5b65aca-8450-34eb-8f98-f485e87d7e8f,Called Strike,0,1,2,True,False,MJ,115.0,141,115,fielding,696100.0,Hunter Goodman
